Cửa hàng,Doanh thu,Kế hoạch,%HT MXN,AOV,%HT AOV,UPT,%HT UPT,Traffic,%HT Traffic,CVR,%HT CVR,Số đơn,%HT Số đơn,Tỷ lệ Sale,Tỷ lệ phụ kiện,Nhận xét nhanh
Nha Trang,1050,950,110.5,880,107,2.85,121,2300,105,52.5,97,1193,102,62,21,"Vượt MXN, duy trì vai trò dẫn dắt vùng"
Nha Trang 2,760,690,110.1,895,109,2.8,119,1800,101,50.2,93,849,99,60,20,"Vượt MXN, AOV tốt"
Bảo Lộc,640,710,90.1,910,111,2.95,125,1550,92,55.0,102,703,86,58,22,"Chất lượng đơn tốt, cần tăng traffic"
Cam Ranh,610,680,89.7,860,105,2.78,118,1420,90,53.2,98,709,87,61,19,"Gần đạt MXN, tiếp tục đẩy Sale"
Liên Nghĩa,590,700,84.3,905,110,3.02,128,1300,88,54.1,100,652,82,57,23,"AOV/UPT tốt, thiếu traffic"
Phan Thiết,520,690,75.4,850,103,2.7,115,1200,82,50.5,94,612,77,52,18,"Chưa đạt doanh thu, cần kéo đơn"
Đắk Mil,430,580,74.1,845,103,2.76,117,1000,84,56.0,104,509,78,59,20,"CVR tốt, cần tăng traffic"
Gia Nghĩa,390,560,69.6,830,101,2.62,111,920,78,49.5,92,470,70,50,17,"Dưới MXN, cần review hằng ngày"
Diên Khánh,370,570,64.9,820,100,2.55,108,890,74,51.0,95,451,68,49,16,"Traffic thấp, cần tăng hoạt náo"
Đà Lạt,360,590,61.0,835,102,2.58,109,880,73,48.0,89,431,66,48,15,CVR dưới chuẩn
Di Linh,350,550,63.6,840,102,2.66,113,860,76,52.2,97,417,68,55,18,Cần tăng số đơn
Liên Hương,210,500,42.0,790,96,2.4,102,540,55,47.0,87,266,50,44,14,Traffic và CVR thấp
La Gi,107,389,27.5,755,92,2.26,96,337,42.6,48.1,89,142,28.7,46,12,"Thấp nhất vùng, cần kế hoạch phục hồi riêng"
